Tot No. Simulations	E	Ft	Gft	Height	Length	Opening Rate	Distance	E_Soil	Soil_Piossons	Trough Width	Friction 	VL	Depth	Diameter	Fc	LTSM	Crack Width	C. Numbers	Max Slope	Max Tilt	Ang. Dis.	Max H. Strain	Dam. Area (%)	Strain (100%)	Strain (99%)	Strain (98%)	Strain (97%)	Strain (96%)	Strain (95%)	Local Avg.	Global Avg.
205	3779.872	0.527	0.025	8.140	40.086	27.476	4.255	174.320	0.319	42.911	0.374	0.871	75.615	13.069	7.542	0.00016	0.00	0	0.00007	0.00006	1.40E-05	1.60E-05	0	0.000022	0.000017	0.000016	0.000016	0.000015	0.000015	0	4.10E-05
206	3817.522	0.493	0.012	16.216	38.706	0.631	13.818	71.298	0.205	18.791	0.363	0.680	32.269	6.461	9.088	0.00014	0.00	0	0.00011	0.00012	7.00E-06	1.60E-05	0	0.000017	0.000016	0.000015	0.000015	0.000015	0.000015	0	6.40E-05
207	2988.563	0.382	0.012	7.063	25.933	28.316	15.612	39.542	0.119	26.817	0.174	2.574	74.546	6.013	7.228	0.00012	0.00	0	0.00020	0.00020	8.00E-06	8.00E-06	0	0.000021	0.000015	0.000014	0.000013	0.000013	0.000013	0	1.04E-04
208	1580.846	0.159	0.006	19.508	44.665	11.064	28.519	151.560	0.151	27.847	0.198	3.935	64.272	17.510	2.626	0.00135	0.00	0	0.00262	0.00263	2.10E-05	5.30E-05	0.1	0.000597	0.000065	0.000062	0.000061	0.00006	0.000058	0	1.33E-03
209	3701.464	0.413	0.010	7.027	28.224	9.075	6.220	222.741	0.200	23.379	0.218	3.084	67.839	16.345	5.779	0.00193	3.77	4	0.00174	0.00169	0.000252	0.001084	2.52	0.020334	0.002587	0.000247	0.000048	0.000043	0.000038	3.88645	1.19E-03
210	7437.654	0.824	0.022	15.499	56.834	10.691	13.142	231.638	0.342	15.023	0.090	0.735	30.575	13.373	11.614	0.00105	3.27	2	0.00066	0.00065	4.00E-05	0.000467	0.42	0.018583	0.000052	0.000043	0.000039	0.000035	0.000032	2.63305	4.55E-04
211	4389.536	0.660	0.022	7.850	38.739	6.788	8.960	36.550	0.382	18.908	0.343	1.516	57.683	12.061	6.289	0.00081	0.00	0	0.00079	0.00078	5.90E-05	7.20E-05	0	0.000097	0.000066	0.000061	0.000058	0.000055	0.000051	0	4.25E-04
212	6125.796	0.638	0.026	11.632	18.938	25.984	25.982	186.685	0.441	13.462	0.300	1.291	34.862	12.184	9.390	0.00016	0.00	0	0.00110	0.00107	3.40E-05	7.00E-06	0	0.000017	0.000014	0.000013	0.000013	0.000012	0.000012	0	5.54E-04
213	3206.225	0.612	0.029	3.361	48.101	8.591	5.796	198.554	0.204	12.240	0.013	2.452	47.487	10.274	5.137	0.00167	6.58	9	0.00296	0.00275	0.001645	0.001794	3.06	0.03906	0.005522	0.00107	0.000146	0.000113	0.000096	7.78935	2.29E-03
214	7658.489	1.015	0.028	17.881	30.203	16.248	8.163	190.810	0.283	20.019	0.149	3.800	38.145	5.584	11.071	0.00050	0.00	0	0.00030	0.00030	4.00E-06	1.10E-05	0	0.000025	0.000015	0.000014	0.000013	0.000013	0.000013	0	1.53E-04
215	8941.651	0.925	0.024	9.949	27.437	2.199	23.289	205.292	0.132	26.576	0.402	2.631	66.249	9.962	27.137	0.00025	0.00	0	0.00065	0.00065	1.00E-06	5.00E-06	0	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005	0	3.27E-04
216	8562.056	1.030	0.024	12.509	51.202	15.745	10.419	21.843	0.297	32.599	0.532	2.974	60.739	6.782	25.569	0.00022	0.00	0	0.00010	0.00011	3.00E-06	7.00E-06	0	0.000014	0.000009	0.000008	0.000008	0.000008	0.000007	0	5.48E-05
217	2452.834	0.407	0.016	19.924	26.755	24.400	14.930	34.660	0.126	21.735	0.321	1.406	41.792	7.713	7.705	0.00021	0.00	0	0.00029	0.00028	3.40E-05	2.80E-05	0	0.000081	0.000051	0.000047	0.000045	0.000044	0.000043	0	1.58E-04
218	2623.859	0.344	0.009	13.805	16.444	28.732	17.029	46.941	0.243	18.274	0.405	2.101	30.195	9.025	8.527	0.00037	0.00	0	0.00095	0.00094	2.90E-05	1.70E-05	0	0.000056	0.000037	0.000034	0.000033	0.000031	0.000031	0	4.83E-04
219	8343.758	0.848	0.023	10.032	37.020	24.467	20.197	144.442	0.421	18.353	0.325	3.199	38.558	11.222	26.463	0.00136	0.00	0	0.00190	0.00187	2.40E-05	1.40E-05	0	0.000017	0.000012	0.000011	0.00001	0.000009	0.000009	0	9.53E-04
220	2227.647	0.373	0.018	15.338	20.077	26.720	11.088	152.547	0.252	11.852	0.575	3.245	19.935	8.112	5.159	0.00191	0.00	0	0.00246	0.00247	1.10E-05	2.40E-05	0	0.000076	0.00005	0.000046	0.000045	0.000044	0.000042	0	1.24E-03
221	5609.992	0.668	0.023	6.586	21.509	25.077	37.618	88.333	0.224	28.395	0.543	1.867	63.012	12.619	9.081	0.00007	0.00	0	0.00063	0.00062	1.30E-05	4.00E-06	0	0.00001	0.000007	0.000007	0.000006	0.000006	0.000006	0	3.18E-04
222	5680.696	0.754	0.021	14.188	40.558	12.338	19.524	54.696	0.150	8.596	0.471	1.755	19.445	12.706	15.144	0.00432	0.00	0	0.00296	0.00290	6.90E-05	7.70E-05	0	0.000086	0.00007	0.000066	0.000062	0.000058	0.000054	0	1.50E-03
223	8030.134	1.035	0.028	4.299	47.041	10.851	6.786	201.251	0.480	7.803	0.553	2.602	18.076	7.061	16.372	0.00339	8.57	16	0.00296	0.00277	0.001862	0.003813	6.56	0.038885	0.009239	0.004961	0.002989	0.001504	0.000772	12.28305	2.85E-03
224	6842.341	0.766	0.027	13.767	43.358	7.094	24.458	184.787	0.115	36.787	0.120	4.301	61.219	8.677	11.151	0.00033	0.00	0	0.00038	0.00038	5.00E-06	1.50E-05	0	0.000028	0.000015	0.000014	0.000013	0.000012	0.000011	0	1.94E-04
225	5170.855	0.570	0.025	12.265	46.408	4.663	11.194	247.508	0.165	5.227	0.084	4.079	15.776	5.701	9.152	0.00597	8.95	5	0.00166	0.00155	0.000316	0.001716	1.5	0.039545	0.000566	0.000056	0.000048	0.000044	0.000042	6.97275	1.31E-03
226	7491.953	0.804	0.016	6.802	8.026	8.130	34.455	216.387	0.422	22.166	0.268	2.466	57.877	13.959	17.184	0.00037	0.00	0	0.00145	0.00145	4.00E-06	4.00E-06	0	0.000008	0.000005	0.000004	0.000004	0.000004	0.000004	0	7.26E-04
227	1850.453	0.190	0.007	17.243	9.482	8.556	23.287	209.680	0.332	9.957	0.510	2.425	34.193	9.821	4.036	0.00031	0.00	0	0.00139	0.00137	2.80E-05	4.40E-05	0.04	0.00025	0.000052	0.00005	0.000047	0.000045	0.000044	0	7.08E-04
228	1931.696	0.491	0.023	13.622	26.850	28.302	8.918	202.727	0.426	18.344	0.303	3.468	40.326	9.884	2.811	0.00148	0.00	0	0.00139	0.00120	0.000193	7.50E-05	0	0.000123	0.000072	0.000068	0.000065	0.000062	0.000059	0	7.15E-04
229	6924.310	0.795	0.020	4.814	36.748	17.971	23.976	106.326	0.263	17.671	0.514	4.062	44.029	9.420	22.452	0.00086	0.00	0	0.00196	0.00194	0.000117	9.50E-05	0	0.000097	0.000088	0.000082	0.000077	0.000072	0.000068	0	1.03E-03
230	3424.951	0.410	0.016	15.280	37.935	6.669	36.966	61.174	0.347	37.775	0.339	3.366	79.971	14.257	6.573	0.00029	0.00	0	0.00087	0.00088	1.20E-05	1.80E-05	0	0.000041	0.000021	0.000019	0.000019	0.000018	0.000018	0	4.44E-04
231	6718.215	0.890	0.029	4.166	37.843	19.927	3.969	17.247	0.144	12.305	0.328	4.571	48.658	7.001	19.598	0.00155	4.06	2	0.00156	0.00151	0.00031	0.00085	1.3	0.019851	0.000602	0.000062	0.000056	0.000053	0.000051	3.0302	1.06E-03
232	4089.410	0.761	0.029	16.262	20.063	24.967	35.436	111.450	0.332	30.207	0.125	3.403	55.640	12.634	11.089	0.00019	0.00	0	0.00109	0.00109	1.50E-05	1.30E-05	0	0.000045	0.000028	0.000027	0.000026	0.000025	0.000024	0	5.53E-04
233	5333.779	0.573	0.023	18.747	36.737	20.827	20.128	89.075	0.109	25.194	0.107	2.936	64.358	9.632	10.968	0.00042	0.00	0	0.00068	0.00069	8.00E-06	1.30E-05	0	0.000034	0.000022	0.000021	0.00002	0.000019	0.000019	0	3.48E-04
234	7718.366	1.020	0.026	8.935	55.247	10.052	32.857	58.654	0.308	30.876	0.407	3.881	60.031	15.820	13.145	0.00112	0.00	0	0.00169	0.00167	2.20E-05	1.60E-05	0	0.000027	0.000015	0.000014	0.000013	0.000013	0.000012	0	8.50E-04
235	2724.400	0.396	0.016	3.489	10.685	19.835	6.086	155.976	0.105	21.593	0.511	4.258	36.340	5.167	8.130	0.00045	0.00	0	0.00022	0.00020	2.00E-05	9.00E-06	0	0.000014	0.00001	0.000009	0.000009	0.000008	0.000008	0	1.11E-04
236	2490.471	0.527	0.025	15.532	23.647	19.582	16.484	74.832	0.332	20.250	0.039	1.131	42.709	11.091	7.147	0.00031	0.00	0	0.00058	0.00058	2.30E-05	2.10E-05	0	0.00006	0.00004	0.000037	0.000035	0.000034	0.000033	0	2.99E-04
237	4235.017	0.476	0.015	13.961	18.639	19.460	17.434	197.818	0.271	16.330	0.547	0.658	58.073	11.503	13.668	0.00011	0.00	0	0.00059	0.00058	1.30E-05	1.10E-05	0	0.000031	0.000021	0.00002	0.000019	0.000018	0.000018	0	2.98E-04
238	7707.407	0.850	0.027	3.960	58.846	10.865	17.740	62.634	0.308	42.767	0.043	0.463	82.049	6.719	12.453	0.00001	0.00	0	0.00002	0.00002	2.00E-06	3.00E-06	0	0.000005	0.000003	0.000003	0.000003	0.000003	0.000003	0	1.20E-05
239	2838.767	0.555	0.020	10.068	24.953	14.490	41.465	216.631	0.218	17.542	0.123	1.654	34.914	14.741	4.411	0.00001	0.00	0	0.00076	0.00069	6.40E-05	3.90E-05	0	0.000044	0.000036	0.000034	0.000032	0.00003	0.000029	0	3.87E-04
240	6504.626	0.868	0.025	17.391	48.259	13.846	8.438	75.481	0.339	28.979	0.267	1.812	76.382	7.504	16.900	0.00018	0.00	0	0.00010	0.00010	4.00E-06	1.30E-05	0	0.000027	0.000017	0.000017	0.000016	0.000015	0.000015	0	5.30E-05
241	2189.982	0.441	0.019	14.086	56.115	12.787	4.437	239.834	0.382	26.757	0.516	1.617	67.860	5.742	5.172	0.00011	0.00	0	0.00012	0.00012	1.90E-05	5.10E-05	0	0.000091	0.000055	0.000051	0.000048	0.000045	0.000042	0	7.80E-05
242	3461.019	0.468	0.011	19.533	41.784	20.838	15.105	240.326	0.321	23.146	0.126	0.306	62.991	5.349	6.220	0.00002	0.00	0	0.00002	0.00004	1.40E-05	1.80E-05	0	0.000054	0.000035	0.000032	0.000031	0.00003	0.00003	0	2.30E-05
243	3384.663	0.410	0.017	13.322	15.610	11.680	38.286	72.552	0.480	19.098	0.486	0.857	39.701	15.325	8.524	0.00016	0.00	0	0.00050	0.00049	2.20E-05	1.60E-05	0	0.000035	0.000022	0.000021	0.00002	0.00002	0.000019	0	2.57E-04
244	992.526	0.222	0.009	19.004	30.810	14.304	25.618	117.563	0.236	34.287	0.035	4.490	71.749	10.552	2.745	0.00036	0.00	0	0.00074	0.00076	4.90E-05	6.90E-05	0	0.00017	0.000115	0.00011	0.000105	0.000101	0.000098	0	4.03E-04
245	3261.340	0.343	0.015	13.988	24.308	20.448	19.613	62.140	0.182	28.513	0.401	3.136	74.634	11.635	5.288	0.00040	0.00	0	0.00087	0.00087	2.10E-05	1.50E-05	0	0.000043	0.000027	0.000025	0.000024	0.000024	0.000023	0	4.43E-04
246	4787.338	0.712	0.026	6.341	33.129	13.213	8.333	201.321	0.426	24.236	0.460	3.103	84.532	6.976	13.539	0.00027	0.00	0	0.00041	0.00039	5.80E-05	6.40E-05	0	0.00009	0.000057	0.000052	0.000048	0.000045	0.000042	0	2.31E-04
247	2298.433	0.375	0.018	18.822	39.767	18.665	15.263	85.906	0.404	42.349	0.272	1.084	67.990	7.849	3.664	0.00007	0.00	0	0.00005	0.00006	2.80E-05	2.80E-05	0	0.00007	0.000048	0.000046	0.000044	0.000042	0.000041	0	4.00E-05
248	2386.556	0.290	0.012	7.478	48.980	2.367	3.651	178.592	0.393	23.532	0.220	1.445	54.312	16.328	5.338	0.00098	6.51	6	0.00126	0.00122	0.000217	0.001106	1.43	0.037041	0.014373	0.000059	0.000054	0.00005	0.000048	6.2536	9.50E-04
249	5852.791	0.775	0.027	8.165	54.245	11.286	7.271	246.917	0.206	17.079	0.392	4.708	46.286	12.300	15.511	0.00345	11.42	13	0.00407	0.00406	0.000768	0.002893	4.99	0.047248	0.011804	0.005099	0.00176	0.000527	0.000087	12.2083	2.95E-03
250	3898.187	0.495	0.017	3.487	38.407	23.379	11.180	184.627	0.274	21.358	0.089	3.014	57.342	15.034	8.616	0.00164	2.07	7	0.00281	0.00277	0.000643	0.00063	3.41	0.013152	0.002405	0.000954	0.0003	0.000082	0.000052	4.5342	1.71E-03
251	1835.777	0.330	0.015	10.740	38.147	8.300	42.345	222.830	0.437	20.463	0.581	0.252	80.684	17.028	3.410	0.00007	0.00	0	0.00025	0.00020	4.80E-05	4.90E-05	0	0.000072	0.000045	0.000043	0.000041	0.000039	0.000037	0	1.38E-04
